Commit hash, Repository name, Author name, Filename, nloc, cyclomatic complexity, Num lines added, Num lines removed, Change type, Label
a671a703fe86b69adb8c61495a915065c186362d,commons-compress,Stefan Bodewig,TarConstants.java,58,0,6,0,MODIFY,PR
a671a703fe86b69adb8c61495a915065c186362d,commons-compress,Stefan Bodewig,ArchiveUtils.java,108,31,18,1,MODIFY,PR
a671a703fe86b69adb8c61495a915065c186362d,commons-compress,Stefan Bodewig,IOUtils.java,38,8,23,0,MODIFY,PR
a671a703fe86b69adb8c61495a915065c186362d,commons-compress,Stefan Bodewig,TarArchiveInputStreamTest.java,154,16,7,4,MODIFY,PR
a671a703fe86b69adb8c61495a915065c186362d,commons-compress,Stefan Bodewig,TarArchiveOutputStreamTest.java,402,28,1,1,MODIFY,PR
840a20e10b88734211f814cec99177e3bcd06a4a,commons-compress,Stefan Bodewig,BitInputStream.java,56,11,13,5,MODIFY,PR
1418705648202405208e3f4d900dfcc81457cbac,commons-compress,Kristian Rosenvold,GeneralPurposeBit.java,94,32,23,9,MODIFY,PR
1418705648202405208e3f4d900dfcc81457cbac,commons-compress,Kristian Rosenvold,ZipArchiveOutputStream.java,805,183,162,122,MODIFY,PR
1418705648202405208e3f4d900dfcc81457cbac,commons-compress,Kristian Rosenvold,ZipLong.java,86,17,21,4,MODIFY,PR
1418705648202405208e3f4d900dfcc81457cbac,commons-compress,Kristian Rosenvold,ZipShort.java,67,16,14,2,MODIFY,PR
1418705648202405208e3f4d900dfcc81457cbac,commons-compress,Kristian Rosenvold,ZipUtil.java,180,47,30,7,MODIFY,PR
1418705648202405208e3f4d900dfcc81457cbac,commons-compress,Kristian Rosenvold,ZipLongTest.java,51,7,12,0,MODIFY,PR
1418705648202405208e3f4d900dfcc81457cbac,commons-compress,Kristian Rosenvold,ZipShortTest.java,47,7,12,0,MODIFY,PR
1418705648202405208e3f4d900dfcc81457cbac,commons-compress,Kristian Rosenvold,ZipUtilTest.java,167,23,16,0,MODIFY,PR
516c38fd95fff30841f9af370f50cf1f7733c209,commons-compress,Kristian Rosenvold,ZipArchiveEntry.java,387,115,79,28,MODIFY,PR
516c38fd95fff30841f9af370f50cf1f7733c209,commons-compress,Kristian Rosenvold,ZipArchiveOutputStream.java,798,185,1,4,MODIFY,PR
f9334473bd9993f38458ecee137ba9e7f7b79abb,commons-compress,Stefan Bodewig,TapeInputStream.java,184,40,3,3,MODIFY,PR
f9334473bd9993f38458ecee137ba9e7f7b79abb,commons-compress,Stefan Bodewig,ZipArchiveInputStream.java,613,164,5,2,MODIFY,PR
f9334473bd9993f38458ecee137ba9e7f7b79abb,commons-compress,Stefan Bodewig,ZipFile.java,626,105,5,2,MODIFY,PR
f9334473bd9993f38458ecee137ba9e7f7b79abb,commons-compress,Stefan Bodewig,DeflateCompressorInputStream.java,58,14,8,2,MODIFY,PR
f9334473bd9993f38458ecee137ba9e7f7b79abb,commons-compress,Stefan Bodewig,DeflateCompressorOutputStream.java,41,7,9,3,MODIFY,PR
87f0f2ec35c600cae7a17621455c00e24256011a,commons-compress,Stefan Bodewig,SevenZOutputFile.java,592,117,85,59,MODIFY,PR
daeb07457183232eb9a9fb71bfb31a3700404427,commons-compress,Stefan Bodewig,BoundedSeekableByteChannelInputStream.java,67,13,92,0,ADD,PR
daeb07457183232eb9a9fb71bfb31a3700404427,commons-compress,Stefan Bodewig,SevenZFile.java,811,186,132,87,MODIFY,PR
7d73baf10e435fcaa4927495afc185fb473c416b,commons-compress,tballison,CompressorMemoryLimitException.java,9,2,36,0,ADD,PR
7d73baf10e435fcaa4927495afc185fb473c416b,commons-compress,tballison,CompressorStreamFactory.java,342,83,38,5,MODIFY,PR
7d73baf10e435fcaa4927495afc185fb473c416b,commons-compress,tballison,LZMACompressorInputStream.java,55,14,3,3,MODIFY,PR
7d73baf10e435fcaa4927495afc185fb473c416b,commons-compress,tballison,LZWInputStream.java,156,37,17,0,MODIFY,PR
7d73baf10e435fcaa4927495afc185fb473c416b,commons-compress,tballison,ZCompressorInputStream.java,100,27,21,3,MODIFY,PR
7d73baf10e435fcaa4927495afc185fb473c416b,commons-compress,tballison,DetectCompressorTestCase.java,189,19,24,0,MODIFY,PR
7e89c9cc80bc3fd2aab64f25dd816c6d14790988,commons-compress,Zbynek Vyskovsky,ZipFile.java,724,130,74,26,MODIFY,PR
7e89c9cc80bc3fd2aab64f25dd816c6d14790988,commons-compress,Zbynek Vyskovsky,ZipFileTest.java,385,36,130,0,MODIFY,PR
daa69a5981c7c12e0af5922f0a07653446261b07,commons-compress,Zbynek Vyskovsky,ZipFile.java,703,129,37,63,MODIFY,PR
135dd48fda61f81d9b8e0aec0661c1d48226ae3c,commons-compress,Stefan Bodewig,ZipFile.java,697,130,10,6,MODIFY,PR
6eca4c05986bac88d1b65af83348a754efa36559,commons-io,Stephen Colebourne,ByteArrayOutputStream.java,131,30,36,18,MODIFY,PR
6eca4c05986bac88d1b65af83348a754efa36559,commons-io,Stephen Colebourne,ByteArrayOutputStreamTestCase.java,90,15,8,0,MODIFY,PR
3e300278eca4c60bc35f9784e20e1bdb0bc8f0e7,commons-io,Henri Yandell,FileUtils.java,673,176,78,25,MODIFY,NPR
8f4a512c3daa74f8c716234afa6f03b5ba9e2e5f,commons-io,Gary D. Gregory,EndianUtils.java,205,33,1,1,MODIFY,NPR
59ffcad15d220c2bc1f70f01d58bc31dec04b423,commons-io,Gary D. Gregory,Tailer.java,147,32,66,33,MODIFY,PR
19ba389fe8194bb6c22102b32e021d8487e1e307,commons-csv,Sebastian Bazley,CSVLexer.java,118,37,5,1,MODIFY,PR
9ce0716a4397d07b041aca2f4f319da09dce4c0a,commons-csv,Sebastian Bazley,CSVLexer130663.java,118,37,226,0,ADD,NPR
6d86230edf3bece2e9c06da893d0b08324348b3a,commons-imaging,Damjan Jovanovic,TiffElement.java,49,7,4,0,MODIFY,PR
6d86230edf3bece2e9c06da893d0b08324348b3a,commons-imaging,Damjan Jovanovic,TiffImageData.java,116,12,27,0,MODIFY,PR
6d86230edf3bece2e9c06da893d0b08324348b3a,commons-imaging,Damjan Jovanovic,TiffReader.java,407,69,18,6,MODIFY,PR
6d86230edf3bece2e9c06da893d0b08324348b3a,commons-imaging,Damjan Jovanovic,DataReaderStrips.java,77,9,1,1,MODIFY,PR
6d86230edf3bece2e9c06da893d0b08324348b3a,commons-imaging,Damjan Jovanovic,DataReaderTiled.java,85,11,1,1,MODIFY,PR
fed613c08a356532900bb0096575f9c696381606,commons-imaging,Damjan Jovanovic,TiffElement.java,49,7,1,1,MODIFY,NPR
fed613c08a356532900bb0096575f9c696381606,commons-imaging,Damjan Jovanovic,TiffImageData.java,116,12,1,1,MODIFY,NPR
